note_id,maintenance_id,machine_id,note_datetime,note_text,intent_label,contains_safety_issue
NOTE-MT-000001,MT-000001,MCH-001,2025-08-22 17:39:00,Symptom: scheduled preventive maintenance; inspection and calibration. Action: lubricated moving parts; checked sensors; verified safety interlock. Severity: low. Failure code: PM.,maintenance_case_summary,0
NOTE-MT-000002,MT-000002,MCH-001,2025-10-28 11:33:00,Symptom: scheduled preventive maintenance; inspection and calibration. Action: lubricated moving parts; checked sensors; verified safety interlock. Severity: low. Failure code: PM.,maintenance_case_summary,0
NOTE-MT-000003,MT-000003,MCH-001,2026-01-19 12:42:00,Symptom: scheduled preventive maintenance; inspection and calibration. Action: lubricated moving parts; checked sensors; verified safety interlock. Severity: low. Failure code: PM.,maintenance_case_summary,0
NOTE-MT-000004,MT-000004,MCH-001,2026-04-11 12:26:00,Symptom: scheduled preventive maintenance; inspection and calibration. Action: lubricated moving parts; checked sensors; verified safety interlock. Severity: low. Failure code: PM.,maintenance_case_summary,0
NOTE-MT-000005,MT-000005,MCH-001,2026-06-21 12:10:00,Symptom: scheduled preventive maintenance; inspection and calibration. Action: lubricated moving parts; checked sensors; verified safety interlock. Severity: low. Failure code: PM.,maintenance_case_summary,0
NOTE-MT-000006,MT-000006,MCH-001,2026-03-30 20:25:00,Symptom: abnormal vibration and rising temperature before automatic stop. Action: replaced bearing; realigned shaft; verified vibration baseline. Severity: medium. Failure code: BEARING.,maintenance_case_summary,0
NOTE-MT-000007,MT-000007,MCH-001,2026-06-11 20:14:00,Symptom: abnormal vibration and rising temperature before automatic stop. Action: replaced bearing; realigned shaft; verified vibration baseline. Severity: medium. Failure code: BEARING.,maintenance_case_summary,0
NOTE-MT-000008,MT-000008,MCH-002,2025-08-13 08:15:00,Symptom: scheduled preventive maintenance; inspection and calibration. Action: lubricated moving parts; checked sensors; verified safety interlock. Severity: low. Failure code: PM.,maintenance_case_summary,0
NOTE-MT-000009,MT-000009,MCH-002,2025-10-02 19:11:00,Symptom: scheduled preventive maintenance; inspection and calibration. Action: lubricated moving parts; checked sensors; verified safety interlock. Severity: low. Failure code: PM.,maintenance_case_summary,0
NOTE-MT-000010,MT-000010,MCH-002,2025-11-12 09:14:00,Symptom: scheduled preventive maintenance; inspection and calibration. Action: lubricated moving parts; checked sensors; verified safety interlock. Severity: low. Failure code: PM.,maintenance_case_summary,0
NOTE-MT-000011,MT-000011,MCH-002,2025-12-30 18:57:00,Symptom: scheduled preventive maintenance; inspection and calibration. Action: lubricated moving parts; checked sensors; verified safety interlock. Severity: low. Failure code: PM.,maintenance_case_summary,0
NOTE-MT-000012,MT-000012,MCH-002,2026-02-13 14:13:00,Symptom: scheduled preventive maintenance; inspection and calibration. Action: lubricated moving parts; checked sensors; verified safety interlock. Severity: low. Failure code: PM.,maintenance_case_summary,0
NOTE-MT-000013,MT-000013,MCH-002,2026-04-07 16:51:00,Symptom: scheduled preventive maintenance; inspection and calibration. Action: lubricated moving parts; checked sensors; verified safety interlock. Severity: low. Failure code: PM.,maintenance_case_summary,0
